C,gamma,train_acc,test_acc
0.01,0.001,0.512987012987013,0.56
0.01,0.01,0.512987012987013,0.56
0.01,0.1,0.512987012987013,0.56
0.01,1.0,0.512987012987013,0.56
0.01,10.0,0.512987012987013,0.56
0.1,0.001,0.512987012987013,0.56
0.1,0.01,0.8311688311688312,0.8
0.1,0.1,0.8311688311688312,0.74
0.1,1.0,0.512987012987013,0.56
0.1,10.0,0.512987012987013,0.56
1.0,0.001,0.8311688311688312,0.74
1.0,0.01,0.8571428571428571,0.74
1.0,0.1,0.922077922077922,0.8
1.0,1.0,1.0,0.7
1.0,10.0,1.0,0.56
10.0,0.001,0.8506493506493507,0.74
10.0,0.01,0.9090909090909091,0.82
10.0,0.1,0.948051948051948,0.74
10.0,1.0,1.0,0.66
10.0,10.0,1.0,0.56
100.0,0.001,0.8961038961038961,0.82
100.0,0.01,0.935064935064935,0.84
100.0,0.1,1.0,0.7
100.0,1.0,1.0,0.66
100.0,10.0,1.0,0.56
1000.0,0.001,0.9155844155844156,0.88
1000.0,0.01,0.9545454545454546,0.86
1000.0,0.1,1.0,0.72
1000.0,1.0,1.0,0.66
1000.0,10.0,1.0,0.56
